Date,CSI
2013-01-01,94.0
2013-02-01,95.0
2013-03-01,101.0
2013-04-01,105.0
2013-05-01,111.0
2013-06-01,110.0
2013-07-01,103.0
2013-08-01,102.0
2013-09-01,109.0
2013-10-01,113.0
2013-11-01,113.0
2013-12-01,111.0
2014-01-01,117.0
2014-02-01,121.0
2014-03-01,121.0
2014-04-01,116.0
2014-05-01,113.0
2014-06-01,113.0
2014-07-01,113.0
2014-08-01,120.0
2014-09-01,124.0
2014-10-01,124.0
2014-11-01,119.0
2014-12-01,116.0
2015-01-01,116.0
2015-02-01,118.0
2015-03-01,123.0
2015-04-01,122.0
2015-05-01,122.0
2015-06-01,120.0
2015-07-01,119.0
2015-08-01,116.0
2015-09-01,117.0
2015-10-01,119.0
2015-11-01,113.0
2015-12-01,102.0
2016-01-01,102.0
2016-02-01,102.0
2016-03-01,101.0
2016-04-01,105.0
2016-05-01,106.0
2016-06-01,111.0
2016-07-01,111.0
2016-08-01,108.0
2016-09-01,112.0
2016-10-01,114.0
2016-11-01,107.0
2016-12-01,97.0
2017-01-01,92.0
2017-02-01,92.0
2017-03-01,99.0
2017-04-01,103.0
2017-05-01,109.0
2017-06-01,116.0
2017-07-01,115.0
2017-08-01,99.0
2017-09-01,103.0
2017-10-01,110.0
2017-11-01,106.0
2017-12-01,106.0
2018-01-01,110.0
2018-02-01,112.0
2018-03-01,107.0
2018-04-01,101.0
2018-05-01,102.0
2018-06-01,98.0
2018-07-01,98.0
2018-08-01,109.0
2018-09-01,128.0
2018-10-01,114.0
2018-11-01,101.0
2018-12-01,95.0
2019-01-01,91.0
2019-02-01,84.0
2019-03-01,83.0
2019-04-01,87.0
2019-05-01,93.0
2019-06-01,97.0
2019-07-01,106.0
2019-08-01,107.0
2019-09-01,109.0
2019-10-01,115.0
2019-11-01,120.0
2019-12-01,125.0
2020-01-01,116.0
2020-02-01,112.0
2020-03-01,112.0
2020-04-01,96.0
2020-05-01,96.0
2020-06-01,112.0
2020-07-01,125.0
2020-08-01,125.0
2020-09-01,117.0
2020-10-01,122.0
2020-11-01,130.0
2020-12-01,132.0
2021-01-01,130.0
2021-02-01,129.0
2021-03-01,124.0
2021-04-01,122.0
2021-05-01,124.0
2021-06-01,127.0
2021-07-01,129.0
2021-08-01,129.0
2021-09-01,128.0
2021-10-01,125.0
2021-11-01,116.0
2021-12-01,107.0
2022-01-01,100.0
2022-02-01,97.0
2022-03-01,104.0
2022-04-01,114.0
2022-05-01,111.0
2022-06-01,98.0
2022-07-01,82.0
2022-08-01,76.0
2022-09-01,67.0
2022-10-01,64.0
2022-11-01,61.0
2022-12-01,62.0
2023-01-01,68.0
2023-02-01,71.0
2023-03-01,80.0
2023-04-01,87.0
2023-05-01,92.0
2023-06-01,100.0
2023-07-01,102.0
2023-08-01,107.0
2023-09-01,110.0
2023-10-01,108.0
2023-11-01,102.0
2023-12-01,93.0
2024-01-01,92.0
2024-02-01,92.0
2024-03-01,95.0
2024-04-01,101.0
2024-05-01,101.0
2024-06-01,108.0
2024-07-01,115.0
2024-08-01,118.0
2024-09-01,119.0
2024-10-01,116.0
2024-11-01,109.0
2024-12-01,103.0
2025-01-01,101.0
2025-02-01,99.0
2025-03-01,105.0
2025-04-01,108.0
2025-05-01,111.0
2025-06-01,120.0
2025-07-01,109.0
2025-08-01,111.0
2025-09-01,112.0
2025-10-01,122.0
2025-11-01,119.0
2025-12-01,121.0
2026-01-01,124.0
