,HPI
2013-01,58.576143
2013-02,58.432987
2013-03,58.265789
2013-04,58.153408
2013-05,58.051796
2013-06,57.905395
2013-07,57.773308
2013-08,57.628693
2013-09,57.566789
2013-10,57.644524
2013-11,57.680646
2013-12,57.710221
2014-01,57.744448
2014-02,57.815656
2014-03,57.988375
2014-04,58.10074
2014-05,58.105453
2014-06,58.087456
2014-07,58.10282
2014-08,58.171194
2014-09,58.376407
2014-10,58.581293
2014-11,58.680149
2014-12,58.755594
2015-01,58.826782
2015-02,58.985875
2015-03,59.278582
2015-04,59.638654
2015-05,59.913353
2015-06,60.246131
2015-07,60.557037
2015-08,60.870617
2015-09,61.287545
2015-10,61.551423
2015-11,61.893939
2015-12,62.048939
2016-01,62.116043
2016-02,62.187141
2016-03,62.225018
2016-04,62.275892
2016-05,62.393885
2016-06,62.536171
2016-07,62.741513
2016-08,62.948952
2016-09,63.126604
2016-10,63.434128
2016-11,63.75908
2016-12,63.840257
2017-01,63.86782
2017-02,63.879387
2017-03,63.916223
2017-04,63.964165
2017-05,64.035626
2017-06,64.301736
2017-07,64.610597
2017-08,64.968301
2017-09,65.085778
2017-10,65.235688
2017-11,65.432513
2017-12,65.609551
2018-01,65.911846
2018-02,66.193109
2018-03,66.565294
2018-04,66.816699
2018-05,66.945125
2018-06,67.074311
2018-07,67.221916
2018-08,67.580352
2018-09,68.947491
2018-10,69.777744
2018-11,70.013432
2018-12,70.043855
2019-01,70.035404
2019-02,69.996728
2019-03,69.902747
2019-04,69.79656
2019-05,69.728796
2019-06,69.65313
2019-07,69.700172
2019-08,69.794382
2019-09,69.906683
2019-10,70.071667
2019-11,70.262903
2019-12,70.689401
2020-01,71.052513
2020-02,71.558891
2020-03,72.405838
2020-04,72.702918
2020-05,72.83726
2020-06,73.313131
2020-07,74.527833
2020-08,75.524562
2020-09,76.573893
2020-10,77.097165
2020-11,78.325103
2020-12,79.530809
2021-01,80.961085
2021-02,82.832768
2021-03,84.807793
2021-04,86.385194
2021-05,87.722915
2021-06,89.84601
2021-07,91.567454
2021-08,93.854002
2021-09,96.135766
2021-10,97.625955
2021-11,99.117232
2021-12,99.743791
2022-01,100
2022-02,100.10819272
2022-03,100.15073978
2022-04,100.2809365441
2022-05,100.475432364
2022-06,100.4366246197
2022-07,100.3136756282
2022-08,100.0368084671
2022-09,99.7393871887
2022-10,98.7694785299
2022-11,96.9941540872
2022-12,95.0922732445
2023-01,92.6822025212
2023-02,91.2794911563
2023-03,89.83060612
2023-04,88.53277645
2023-05,87.6570224251
2023-06,87.34548456
2023-07,87.13440037
2023-08,87.12703737
2023-09,87.31145171
2023-10,87.48251207
2023-11,87.53737875
2023-12,87.46299625
2024-01,87.3301043
2024-02,87.24235274
2024-03,87.11715595
2024-04,86.99328501
2024-05,86.93046392
2024-06,86.93197623
2024-07,87.09885152
2024-08,87.4302932
2024-09,87.82416092
2024-10,88.0614635
2024-11,88.17399891
2024-12,88.22101282
2025-01,88.14912373
2025-02,88.09052893
2025-03,88.2120174
2025-04,88.43887816
2025-05,88.59265677
2025-06,89.00981918
2025-07,89.45399767
2025-08,89.6246955
2025-09,89.90969714
2025-10,90.4457684
2025-11,91.15430116
2025-12,91.64128071
2026-01,92.06814986
