horizon,beta_price_shock,se_hac,p_value,ci_low,ci_high,n_obs
1,0.9852353174340969,0.9824081837837103,0.3159198450475734,-0.9402493408993817,2.9107199757675755,142
2,0.9041964824902247,1.1427629334577898,0.4288056186099013,-1.3355777099543855,3.1439706749348346,141
3,0.6528004052313439,1.1962989835752789,0.5852836371941637,-1.6919025173180764,2.9975033277807643,140
4,0.27817694065497534,1.2487803643235296,0.8237231570841599,-2.16938759801995,2.725741479329901,139
5,-0.15295994383266406,1.3594005741530044,0.9104110012021659,-2.8173361097356238,2.5114162220702956,138
6,-0.7017306034348607,1.4871753867027255,0.6370305484836786,-3.6165408000666304,2.213079593196909,137
7,-1.2938804070014416,1.6344286863644653,0.428570159148261,-4.497301767574905,1.909540953572022,136
8,-1.7843281421071286,1.7245412549239254,0.3008238522749611,-5.164366891611531,1.5957106073972733,135
9,-2.1649283964248847,1.7380120938907604,0.21289848976270387,-5.571369505145822,1.2415127122960525,134
10,-2.505843193486207,1.674598747518347,0.1345535510718649,-5.787996427178051,0.7763100402056362,133
11,-2.7118337990579953,1.6041959481453292,0.09093942254246934,-5.856000081567925,0.4323324834519342,132
12,-2.768997837300753,1.5789708259840336,0.07948662707101821,-5.86372378886892,0.325728114267414,131
