target,horizon,cum_beta_hike,cum_beta_cut_025
HPI_gr,1,0.0664077080176929,-0.016601927004423225
HPI_gr,2,-0.2991700850931116,0.0747925212732779
HPI_gr,3,-1.1314724802275729,0.2828681200568932
HPI_gr,4,-2.642383766451484,0.660595941612871
HPI_gr,5,-4.546480147956575,1.1366200369891437
HPI_gr,6,-6.564914748060891,1.6412286870152228
HPI_gr,7,-8.045484865524761,2.0113712163811903
HPI_gr,8,-9.824732854216546,2.4561832135541364
HPI_gr,9,-11.236470843830034,2.8091177109575085
HPI_gr,10,-12.010132562438885,3.0025331406097213
HPI_gr,11,-13.044508772057938,3.2611271930144845
HPI_gr,12,-14.259861453921399,3.5649653634803498
IP_gr,1,5.566054934244115,-1.3915137335610288
IP_gr,2,-6.395537219071675,1.5988843047679187
IP_gr,3,-8.103558315788051,2.025889578947013
IP_gr,4,0.5171543552615052,-0.1292885888153763
IP_gr,5,-5.843210826942936,1.460802706735734
IP_gr,6,-7.754479406660188,1.938619851665047
IP_gr,7,-2.755218510049322,0.6888046275123305
IP_gr,8,-5.817284114384502,1.4543210285961254
IP_gr,9,-4.014088892648188,1.003522223162047
IP_gr,10,-3.6373565911338996,0.9093391477834749
IP_gr,11,-3.887796758279322,0.9719491895698305
IP_gr,12,-4.1380099979990215,1.0345024994997554
